nome,città,tipo,indirizzo
Capital Knot,Central Region,Magazzino,122 Bridge Road 
Lake Knot,Central Region,Magazzino,47 Lake Avenue 
South Knot,Central Region,Punto di Controllo,83 Southern St 
Timefall,East Region,Locker,29 Rain Drive 
Port Knot,East Region,Magazzino,155 Harbor Way 
Mountain Knot,Mountain Region,Magazzino,62 Peak Road 
Distributor NW,Central Region,Punto di Controllo,34 NW Access 
Weather Stat,East Region,Locker,91 Forecast St 
Craftsman Loc,Mountain Region,Punto di Controllo,103 Artisan Dr 
Film Direct,Central Region,Locker,76 Cinema Way 
WindFarm,Central Region,Locker,18 Turbine Path 
Elder,Central Region,Locker,42 Veteran Ave 
Engineer Loc,East Region,Punto di Controllo,57 Tech Street 
Doctor Loc,Mountain Region,Punto di Controllo,89 Medical Dr 
Geologist Loc,Mountain Region,Locker,125 Mineral St
